Year,Company,Average Weekly Complaints
2018,"EQUIFAX, INC.",321.0
2018,Experian Information Solutions Inc.,299.5
2018,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",283.3333333333333
2018,JPMORGAN CHASE & CO.,82.33333333333333
2018,WELLS FARGO & COMPANY,75.83333333333333
2018,"CITIBANK, N.A.",75.16666666666667
2018,CAPITAL ONE FINANCIAL CORPORATION,71.5
2018,"BANK OF AMERICA, NATIONAL ASSOCIATION",50.833333333333336
2018,"Navient Solutions, LLC.",50.333333333333336
2018,SYNCHRONY FINANCIAL,43.5
2018,AMERICAN EXPRESS COMPANY,27.166666666666668
2018,U.S. BANCORP,24.833333333333332
2018,PORTFOLIO RECOVERY ASSOCIATES INC,23.333333333333332
2018,"Bread Financial Holdings, Inc.",23.2
2018,AES/PHEAA,21.333333333333332
2018,DISCOVER BANK,17.166666666666668
2018,Resurgent Capital Services L.P.,16.2
2018,PNC Bank N.A.,16.0
2018,LEXISNEXIS,15.8
2018,"SUNTRUST BANKS, INC.",15.75
2019,"EQUIFAX, INC.",643.622641509434
2019,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",605.9622641509434
2019,Experian Information Solutions Inc.,575.2075471698113
2019,JPMORGAN CHASE & CO.,119.05660377358491
2019,CAPITAL ONE FINANCIAL CORPORATION,107.39622641509433
2019,WELLS FARGO & COMPANY,105.50943396226415
2019,"BANK OF AMERICA, NATIONAL ASSOCIATION",103.41509433962264
2019,"CITIBANK, N.A.",99.64150943396227
2019,SYNCHRONY FINANCIAL,63.83018867924528
2019,"Navient Solutions, LLC.",51.471698113207545
2019,AMERICAN EXPRESS COMPANY,38.79245283018868
2019,U.S. BANCORP,36.679245283018865
2019,"Bread Financial Holdings, Inc.",36.35849056603774
2019,PORTFOLIO RECOVERY ASSOCIATES INC,32.45283018867924
2019,AES/PHEAA,30.528301886792452
2019,DISCOVER BANK,29.754716981132077
2019,Mr. Cooper Group Inc.,25.37735849056604
2019,ENCORE CAPITAL GROUP INC.,23.81132075471698
2019,Ocwen Financial Corporation,22.32075471698113
2019,TD BANK US HOLDING COMPANY,22.132075471698112
2020,Experian Information Solutions Inc.,1458.0
2020,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",1398.8490566037735
2020,"EQUIFAX, INC.",1282.698113207547
2020,CAPITAL ONE FINANCIAL CORPORATION,134.60377358490567
2020,JPMORGAN CHASE & CO.,133.16981132075472
2020,"BANK OF AMERICA, NATIONAL ASSOCIATION",132.79245283018867
2020,"CITIBANK, N.A.",120.58490566037736
2020,WELLS FARGO & COMPANY,105.60377358490567
2020,SYNCHRONY FINANCIAL,67.62264150943396
2020,U.S. BANCORP,57.490566037735846
2020,PNC Bank N.A.,55.867924528301884
2020,PORTFOLIO RECOVERY ASSOCIATES INC,44.886792452830186
2020,AMERICAN EXPRESS COMPANY,43.113207547169814
2020,"Bread Financial Holdings, Inc.",41.22641509433962
2020,DISCOVER BANK,35.716981132075475
2020,"Paypal Holdings, Inc",30.660377358490567
2020,TD BANK US HOLDING COMPANY,30.264150943396228
2020,"Navient Solutions, LLC.",28.60377358490566
2020,ENCORE CAPITAL GROUP INC.,28.09433962264151
2020,Santander Consumer USA Holdings Inc.,27.60377358490566
2021,"EQUIFAX, INC.",2453.698113207547
2021,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",1063.6603773584907
2021,Experian Information Solutions Inc.,634.5094339622641
2021,CAPITAL ONE FINANCIAL CORPORATION,179.9433962264151
2021,"BANK OF AMERICA, NATIONAL ASSOCIATION",165.62264150943398
2021,JPMORGAN CHASE & CO.,159.9056603773585
2021,"CITIBANK, N.A.",134.22641509433961
2021,WELLS FARGO & COMPANY,132.73584905660377
2021,SYNCHRONY FINANCIAL,76.37735849056604
2021,PORTFOLIO RECOVERY ASSOCIATES INC,67.13207547169812
2021,U.S. BANCORP,57.132075471698116
2021,"Bread Financial Holdings, Inc.",55.84905660377358
2021,"Paypal Holdings, Inc",49.37735849056604
2021,DISCOVER BANK,47.528301886792455
2021,AMERICAN EXPRESS COMPANY,47.45283018867924
2021,ENCORE CAPITAL GROUP INC.,46.339622641509436
2021,Resurgent Capital Services L.P.,43.54716981132076
2021,TD BANK US HOLDING COMPANY,41.075471698113205
2021,Santander Consumer USA Holdings Inc.,39.75471698113208
2021,TRUIST FINANCIAL CORPORATION,38.886792452830186
2022,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",3024.377358490566
2022,"EQUIFAX, INC.",2988.8490566037735
2022,Experian Information Solutions Inc.,2875.603773584906
2022,CAPITAL ONE FINANCIAL CORPORATION,202.75471698113208
2022,"BANK OF AMERICA, NATIONAL ASSOCIATION",194.71698113207546
2022,JPMORGAN CHASE & CO.,182.9433962264151
2022,WELLS FARGO & COMPANY,162.9811320754717
2022,"CITIBANK, N.A.",130.20754716981133
2022,SYNCHRONY FINANCIAL,85.86792452830188
2022,"Bread Financial Holdings, Inc.",76.52830188679245
2022,DISCOVER BANK,62.37735849056604
2022,TRUIST FINANCIAL CORPORATION,59.471698113207545
2022,AMERICAN EXPRESS COMPANY,57.39622641509434
2022,U.S. BANCORP,56.943396226415096
2022,NAVY FEDERAL CREDIT UNION,50.867924528301884
2022,PORTFOLIO RECOVERY ASSOCIATES INC,48.094339622641506
2022,TD BANK US HOLDING COMPANY,42.62264150943396
2022,Resurgent Capital Services L.P.,42.54716981132076
2022,ALLY FINANCIAL INC.,41.59615384615385
2022,ENCORE CAPITAL GROUP INC.,41.35849056603774
